,tile,"(192, 183, 143)","(170, 163, 128)","(144, 137, 103)","(133, 167, 38)","(96, 83, 49)","(237, 234, 210)","(220, 88, 37)","(213, 200, 158)","(156, 130, 125)","(128, 126, 121)","(112, 106, 83)","(61, 98, 25)","(54, 56, 40)","(23, 26, 13)","(13, 0, 149)"
0,i0_0.png,0,0,0,0,0,0,0,0,0,0.2222222222222222,0,0,0,0.7777777777777778,0
1,i0_1.png,0,0,0,0,0,0,0,0,0,0.6666666666666666,0,0,0,0.3333333333333333,0
2,i0_10.png,0,0,0,0,0,0,0,0,0.1111111111111111,0.4444444444444444,0.1111111111111111,0,0,0.3333333333333333,0
3,i0_100.png,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0
4,i0_101.png,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0
5,i0_102.png,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0
6,i0_103.png,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0
7,i0_104.png,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0
8,i0_105.png,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0
9,i0_106.png,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0
10,i0_107.png,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0
11,i0_108.png,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0
12,i0_109.png,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0
13,i0_11.png,0,0,0,0,0,0,0,0,0,0.6666666666666666,0,0,0,0.3333333333333333,0
14,i0_110.png,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0
15,i0_111.png,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0
16,i0_112.png,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0
17,i0_113.png,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0
18,i0_114.png,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0
19,i0_115.png,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0
20,i0_116.png,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0
21,i0_117.png,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0
22,i0_118.png,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0
23,i0_119.png,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0
24,i0_12.png,0,0,0,0,0,0,0,0,0,0.6666666666666666,0,0,0,0.3333333333333333,0
25,i0_120.png,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0
26,i0_121.png,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0
27,i0_122.png,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0
28,i0_123.png,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0
29,i0_124.png,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0
30,i0_125.png,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0
31,i0_126.png,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0
32,i0_127.png,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0
33,i0_128.png,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0
34,i0_129.png,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0
35,i0_13.png,0,0,0,0,0,0,0,0,0,0.6666666666666666,0,0,0,0.3333333333333333,0
36,i0_130.png,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0
37,i0_131.png,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0
38,i0_132.png,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0
39,i0_133.png,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0
40,i0_134.png,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0
41,i0_135.png,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0
42,i0_136.png,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0
43,i0_137.png,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0
44,i0_138.png,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0
45,i0_139.png,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0
46,i0_14.png,0,0,0,0,0,0,0,0,0,0.6666666666666666,0,0,0,0.3333333333333333,0
47,i0_140.png,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0
48,i0_141.png,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0
49,i0_142.png,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0
