,tile,"(192, 183, 143)","(170, 163, 128)","(144, 137, 103)","(133, 167, 38)","(96, 83, 49)","(237, 234, 210)","(220, 88, 37)","(213, 200, 158)","(156, 130, 125)","(128, 126, 121)","(112, 106, 83)","(61, 98, 25)","(54, 56, 40)","(23, 26, 13)","(13, 0, 149)"
176,i5_0.png,0.14077380952380952,0.04880952380952381,0.028273809523809524,0,0.17291666666666666,0.0,0,0.015178571428571428,0.014285714285714285,0.02023809523809524,0.05416666666666667,0.04732142857142857,0.12291666666666666,0.3351190476190476,0
177,i5_1.png,0.10535714285714286,0.02470238095238095,0.02261904761904762,0,0.12142857142857143,0.0,0,0.004464285714285714,0.04196428571428571,0.023214285714285715,0.04791666666666667,0.12261904761904761,0.12023809523809524,0.19464285714285715,0.17083333333333334
178,i5_10.png,0.12083333333333333,0.054464285714285715,0.05238095238095238,0,0.12291666666666666,0.0,0.002976190476190476,0.015178571428571428,0.08125,0.030357142857142857,0.07172619047619047,0.003273809523809524,0.2288690476190476,0.21577380952380953,0
179,i5_11.png,0.058333333333333334,0.08898809523809524,0.04255952380952381,0,0.1455357142857143,0.0005952380952380953,0.05386904761904762,0.006547619047619048,0.05714285714285714,0.022916666666666665,0.05952380952380952,0.008333333333333333,0.13363095238095238,0.32202380952380955,0
180,i5_12.png,0.044642857142857144,0.037797619047619045,0.017261904761904763,0,0.42529761904761904,0.00029761904761904765,0.06577380952380953,0.017857142857142856,0.01130952380952381,0.006845238095238095,0.025,0.008333333333333333,0.07589285714285714,0.2636904761904762,0
181,i5_13.png,0.07708333333333334,0.04345238095238095,0.024107142857142858,0,0.1767857142857143,0.0008928571428571428,0.06696428571428571,0.02351190476190476,0.015476190476190477,0.009523809523809525,0.039285714285714285,0.010714285714285714,0.09672619047619048,0.4154761904761905,0
182,i5_14.png,0.09970238095238096,0.035416666666666666,0.022916666666666665,0.0011904761904761906,0.1449404761904762,0.0011904761904761906,0.06577380952380953,0.018452380952380953,0.02976190476190476,0.018452380952380953,0.05,0.02857142857142857,0.1488095238095238,0.33482142857142855,0
183,i5_15.png,0.18601190476190477,0.04851190476190476,0.0375,0,0.13422619047619047,0.0,0,0.013095238095238096,0.01755952380952381,0.015773809523809523,0.04494047619047619,0.048214285714285716,0.13035714285714287,0.3238095238095238,0
184,i5_2.png,0.0,0.0,0,0,0.0026785714285714286,0.0,0,0.0,0.0,0.0,0.0011904761904761906,0.028273809523809524,0.023214285714285715,0.06369047619047619,0.8809523809523809
185,i5_3.png,0.004166666666666667,0.01607142857142857,0.005654761904761905,0,0.04345238095238095,0.0,0,0.0,0.0008928571428571428,0.007738095238095238,0.017261904761904763,0.2011904761904762,0.1130952380952381,0.32083333333333336,0.26964285714285713
186,i5_4.png,0.0011904761904761906,0.003273809523809524,0.0020833333333333333,0.39375,0.03958333333333333,0.0,0,0.0,0.0,0.0,0.0035714285714285713,0.22291666666666668,0.09642857142857143,0.23720238095238094,0
187,i5_5.png,0.10029761904761905,0.14791666666666667,0.04880952380952381,0.04494047619047619,0.06130952380952381,0.0,0,0.10833333333333334,0.23333333333333334,0.01369047619047619,0.042261904761904764,0.04970238095238095,0.06904761904761905,0.08035714285714286,0
188,i5_6.png,0.2839285714285714,0.3011904761904762,0.050595238095238096,0,0.004464285714285714,0.0,0,0.14523809523809525,0.004166666666666667,0.0,0.00505952380952381,0,0.03005952380952381,0.17529761904761904,0
189,i5_7.png,0.5458333333333333,0.3020833333333333,0.022916666666666665,0,0.02738095238095238,0.0,0,0.004464285714285714,0.001488095238095238,0.0,0.01994047619047619,0,0.01488095238095238,0.06101190476190476,0
190,i5_8.png,0.17142857142857143,0.11041666666666666,0.04404761904761905,0.001488095238095238,0.10684523809523809,0.00029761904761904765,0.01904761904761905,0.019345238095238096,0.037797619047619045,0.021130952380952382,0.07321428571428572,0.004166666666666667,0.1288690476190476,0.2619047619047619,0
191,i5_9.png,0.15327380952380953,0.033035714285714286,0.018154761904761906,0,0.2910714285714286,0.0,0,0.01369047619047619,0.002380952380952381,0.004761904761904762,0.025892857142857145,0,0.1130952380952381,0.34464285714285714,0
192,i6_0.png,0.16845238095238096,0.03630952380952381,0.06845238095238096,0,0.11160714285714286,0.0,0,0.05803571428571429,0.1494047619047619,0.026488095238095238,0.06904761904761905,0,0.11845238095238095,0.19375,0
193,i6_1.png,0.07351190476190476,0.029464285714285714,0.039285714285714285,0,0.0818452380952381,0.0,0,0.03154761904761905,0.1529761904761905,0.04880952380952381,0.08125,0.052083333333333336,0.16815476190476192,0.23541666666666666,0.005654761904761905
194,i6_10.png,0.17172619047619048,0.08422619047619048,0.0443452380952381,0,0.09821428571428571,0.0017857142857142857,0.055357142857142855,0.009226190476190476,0.015178571428571428,0.012797619047619047,0.0625,0.015773809523809523,0.1380952380952381,0.29077380952380955,0
195,i6_11.png,0.1619047619047619,0.045535714285714284,0.03422619047619048,0.033928571428571426,0.09077380952380952,0.0011904761904761906,0.009226190476190476,0.002380952380952381,0.1113095238095238,0.026488095238095238,0.051488095238095236,0.056845238095238095,0.23839285714285716,0.1363095238095238,0
196,i6_12.png,0.03601190476190476,0.059226190476190474,0.04285714285714286,0.09791666666666667,0.13779761904761906,0.0,0,0.018452380952380953,0.03005952380952381,0.009226190476190476,0.05029761904761905,0.0943452380952381,0.13988095238095238,0.2839285714285714,0
197,i6_13.png,0.16279761904761905,0.12083333333333333,0.07142857142857142,0,0.11369047619047619,0.0005952380952380953,0,0.0744047619047619,0.01755952380952381,0.013392857142857142,0.07827380952380952,0.0005952380952380953,0.15833333333333333,0.1880952380952381,0
198,i6_14.png,0.10416666666666667,0.08541666666666667,0.08035714285714286,0,0.12529761904761905,0.0,0,0.13095238095238096,0.07857142857142857,0.03244047619047619,0.07767857142857143,0,0.13601190476190475,0.14910714285714285,0
199,i6_15.png,0.09255952380952381,0.06577380952380953,0.06279761904761905,0,0.20297619047619048,0.0,0,0.10178571428571428,0.06339285714285714,0.019345238095238096,0.059821428571428574,0.0026785714285714286,0.1130952380952381,0.21577380952380953,0
200,i6_2.png,0.03660714285714286,0.024107142857142858,0.00505952380952381,0,0.03988095238095238,0.0,0,0.0005952380952380953,0.005357142857142857,0.008630952380952382,0.022916666666666665,0.24017857142857144,0.10714285714285714,0.30892857142857144,0.2005952380952381
